Country/Area,Month (abbr),Year,Visitor Arrivals,Growth Rate(%)
Afghanistan,Jan.,2026,295,
Albania,Jan.,2026,37,-87.457627119
Algeria,Jan.,2026,113,205.405405405
Andorra,Jan.,2026,31,-72.566371681
Angola,Jan.,2026,23,-25.806451613
Antigua and Barbuda,Jan.,2026,8,-65.217391304
Argentina,Jan.,2026,"3,956","49,350"
Armenia,Jan.,2026,40,-98.988877654
Australia,Jan.,2026,"160,750","401,775"
Austria,Jan.,2026,"2,150",-98.662519440
Azerbaijan,Jan.,2026,84,-96.093023256
Bahrain,Jan.,2026,126,50
Bangladesh,Jan.,2026,"3,327","2,540.476190476"
Barbados,Jan.,2026,26,-99.218515179
Belarus,Jan.,2026,201,673.076923077
Belgium,Jan.,2026,"2,446","1,116.915422886"
Belize,Jan.,2026,16,-99.345870809
Benin,Jan.,2026,31,93.75
Bhutan,Jan.,2026,176,467.741935484
Bolivia,Jan.,2026,66,-62.5
Bosnia and Herzegovina,Jan.,2026,52,-21.212121212
Botswana,Jan.,2026,18,-65.384615385
Brazil,Jan.,2026,"11,313","62,750"
Brunei,Jan.,2026,885,-92.177141342
Bulgaria,Jan.,2026,376,-57.514124294
Burkina Faso,Jan.,2026,20,-94.680851064
Burundi,Jan.,2026,7,-65
Cambodia,Jan.,2026,"3,260","46,471.428571429"
Cameroon,Jan.,2026,85,-97.392638037
Canada,Jan.,2026,"48,040","56,417.647058824"
Cape Verde,Jan.,2026,5,-99.989592007
Central Africa,Jan.,2026,3,-40
Chad,Jan.,2026,3,0
Chile,Jan.,2026,"1,841","61,266.666666667"
China,Jan.,2026,"385,519","20,840.738728952"
Colombia,Jan.,2026,943,-99.755394676
Comoros,Jan.,2026,5,-99.469777306
Costa Rica,Jan.,2026,776,"15,420"
Cote d'Ivoire,Jan.,2026,45,-94.201030928
Croatia,Jan.,2026,356,691.111111111
Cuba,Jan.,2026,23,-93.539325843
Cyprus,Jan.,2026,160,595.652173913
Czech Republic,Jan.,2026,"1,118",598.75
Democratic Republic of the Congo,Jan.,2026,41,-96.332737030
Denmark,Jan.,2026,"2,528","6,065.853658537"
Djibouti,Jan.,2026,19,-99.248417722
Dominica,Jan.,2026,25,31.578947368
Dominican Republic,Jan.,2026,263,952
East Timor,Jan.,2026,76,-71.102661597
Ecuador,Jan.,2026,129,69.736842105
Egypt,Jan.,2026,723,460.465116279
El Salvador,Jan.,2026,156,-78.423236515
Equatorial Guinea,Jan.,2026,2,-98.717948718
Eritrea,Jan.,2026,0,-100
Estonia,Jan.,2026,402,
Eswatini,Jan.,2026,6,-98.507462687
Ethiopia,Jan.,2026,63,950
Fiji,Jan.,2026,179,184.126984127
Finland,Jan.,2026,"2,390","1,235.195530726"
France,Jan.,2026,"20,648",763.933054393
Gabon,Jan.,2026,11,-99.946726075
Gambia,Jan.,2026,12,9.090909091
Georgia,Jan.,2026,83,591.666666667
Germany,Jan.,2026,"18,327","21,980.722891566"
Ghana,Jan.,2026,173,-99.056037540
Greece,Jan.,2026,936,441.040462428
Grenada,Jan.,2026,6,-99.358974359
Guatemala,Jan.,2026,236,"3,833.333333333"
Guinea,Jan.,2026,28,-88.135593220
Guinea-Bissau,Jan.,2026,1,-96.428571429
Guyana,Jan.,2026,1,0
Haiti,Jan.,2026,8,700
Honduras,Jan.,2026,105,"1,212.5"
Hong Kong,Jan.,2026,"200,048","190,421.904761905"
Hungary,Jan.,2026,910,-99.545109174
Iceland,Jan.,2026,157,-82.747252747
India,Jan.,2026,"18,533","11,704.458598726"
Indonesia,Jan.,2026,"73,999",299.282361194
Iran,Jan.,2026,260,-99.648643901
Iraq,Jan.,2026,117,-55
Ireland,Jan.,2026,"2,866","2,349.572649573"
Israel,Jan.,2026,"3,351",16.922540126
Italy,Jan.,2026,"11,964",257.027752910
Jamaica,Jan.,2026,102,-99.147442327
Jordan,Jan.,2026,107,4.901960784
Kazakhstan,Jan.,2026,854,698.130841121
Kenya,Jan.,2026,192,-77.517564403
Kiribati,Jan.,2026,4,-97.916666667
Kuwait,Jan.,2026,742,"18,450"
Kyrgyzstan,Jan.,2026,220,-70.350404313
Laos,Jan.,2026,806,266.363636364
Latvia,Jan.,2026,201,-75.062034739
Lebanon,Jan.,2026,110,-45.273631841
Lesotho,Jan.,2026,10,-90.909090909
Liberia,Jan.,2026,12,20
Libya,Jan.,2026,31,158.333333333
Liechtenstein,Jan.,2026,26,-16.129032258
Lithuania,Jan.,2026,589,"2,165.384615385"
Luxembourg,Jan.,2026,180,-69.439728353
Macau,Jan.,2026,"7,166","3,881.111111111"
Madagascar,Jan.,2026,41,-99.427853754
Malawi,Jan.,2026,18,-56.097560976
Malaysia,Jan.,2026,"72,477","402,550"
Maldives,Jan.,2026,90,-99.875822675
Mali,Jan.,2026,7,-92.222222222
Malta,Jan.,2026,115,"1,542.857142857"
Marshall,Jan.,2026,18,-84.347826087
Mauritania,Jan.,2026,4,-77.777777778
Mauritius,Jan.,2026,124,"3,000"
Mexico,Jan.,2026,"15,271","12,215.322580645"
Micronesia,Jan.,2026,35,-99.770807413
Moldova,Jan.,2026,26,-25.714285714
Monaco,Jan.,2026,10,-61.538461538
Mongolia,Jan.,2026,"6,482","64,720"
Montenegro,Jan.,2026,41,-99.367479173
Morocco,Jan.,2026,239,482.926829268
Mozambique,Jan.,2026,32,-86.610878661
Myanmar,Jan.,2026,"5,699","17,709.375"
Namibia,Jan.,2026,34,-99.403404106
Nauru,Jan.,2026,7,-79.411764706
Nepal,Jan.,2026,"7,100","101,328.571428571"
Netherlands,Jan.,2026,"5,407",-23.845070423
New Zealand,Jan.,2026,"14,372",165.803587942
Nicaragua,Jan.,2026,24,-99.833008628
Niger,Jan.,2026,0,-100
Nigeria,Jan.,2026,205,
North Korea,Jan.,2026,0,-100
North Macedonia,Jan.,2026,61,
Norway,Jan.,2026,"2,251","3,590.163934426"
Oman,Jan.,2026,100,-95.557529987
Pakistan,Jan.,2026,"2,865","2,765"
Palau,Jan.,2026,41,-98.568935428
Palestine,Jan.,2026,43,4.878048780
Panama,Jan.,2026,248,476.744186047
Papua New Guinea,Jan.,2026,95,-61.693548387
Paraguay,Jan.,2026,126,32.631578947
Peru,Jan.,2026,"1,342",965.079365079
Philippines,Jan.,2026,"79,187","5,800.670640835"
Poland,Jan.,2026,"3,626",-95.420965563
Portugal,Jan.,2026,"2,620",-27.744070601
Qatar,Jan.,2026,366,-86.030534351
Republic of Congo,Jan.,2026,11,-96.994535519
Republic of Kosovo,Jan.,2026,25,127.272727273
Republic of South Africa,Jan.,2026,"1,126","4,404"
Republic of South Sudan,Jan.,2026,8,-99.289520426
Romania,Jan.,2026,"1,072","13,300"
Russia,Jan.,2026,"9,802",814.365671642
Rwanda,Jan.,2026,19,-99.806162008
Saint Kitts and Nevis,Jan.,2026,35,84.210526316
Saint Lucia,Jan.,2026,10,-71.428571429
Saint Vincent,Jan.,2026,2,-80
Samoa,Jan.,2026,17,750
San Marino,Jan.,2026,1,-94.117647059
Sao Tome and Principe,Jan.,2026,1,0
Saudi Arabia,Jan.,2026,"1,715","171,400"
Senegal,Jan.,2026,61,-96.443148688
Serbia,Jan.,2026,302,395.081967213
Seychelles,Jan.,2026,4,-98.675496689
Sierra Leone,Jan.,2026,14,250
Singapore,Jan.,2026,"48,476","346,157.142857143"
Slovakia,Jan.,2026,479,-99.011882168
Slovenia,Jan.,2026,324,-32.359081420
Solomon,Jan.,2026,18,-94.444444444
Somalia,Jan.,2026,7,-61.111111111
South Korea,Jan.,2026,"1,176,089","16,801,171.4285714"
Spain,Jan.,2026,"10,078",-99.143092062
Sri Lanka,Jan.,2026,"4,534",-55.010914864
Stateless and others,Jan.,2026,50,-98.897220997
Sudan,Jan.,2026,41,-18
Suriname,Jan.,2026,7,-82.926829268
Sweden,Jan.,2026,"4,639","66,171.428571429"
Switzerland,Jan.,2026,"4,178",-9.937486527
Syria,Jan.,2026,74,-98.228817616
Taiwan,Jan.,2026,"694,551","938,482.432432433"
Tajikistan,Jan.,2026,67,-99.990353480
Tanzania,Jan.,2026,49,-26.865671642
Thailand,Jan.,2026,"115,100","234,797.959183673"
The Bahamas,Jan.,2026,36,-99.968722850
Togo,Jan.,2026,6,-83.333333333
Tonga,Jan.,2026,45,650
Trinidad and Tobago,Jan.,2026,63,40
Tunisia,Jan.,2026,290,360.317460317
Turkey,Jan.,2026,"10,067","3,371.379310345"
Turkmenistan,Jan.,2026,35,-99.652329393
Tuvalu,Jan.,2026,10,-71.428571429
Uganda,Jan.,2026,86,760
Ukraine,Jan.,2026,742,762.790697674
United Arab Emirates,Jan.,2026,"1,058",42.587601078
United Kingdom,Jan.,2026,"29,535","2,691.587901701"
United States,Jan.,2026,"207,784",603.517860166
Unknown,Jan.,2026,0,-100
Uruguay,Jan.,2026,183,
Uzbekistan,Jan.,2026,928,407.103825137
Vanuatu,Jan.,2026,82,-91.163793103
Vatican,Jan.,2026,0,-100
Venezuela,Jan.,2026,164,
Vietnam,Jan.,2026,"52,871","32,138.414634146"
Yemen,Jan.,2026,36,-99.931909743
Zambia,Jan.,2026,46,27.777777778
Zimbabwe,Jan.,2026,90,95.652173913
