"Time","Japan Travel","France Travel","Spain Travel","America Travel","World Travel"
"2004-01-01",16,21,20,24,66
"2004-02-01",17,19,18,21,55
"2004-03-01",16,21,17,22,57
"2004-04-01",16,20,16,20,55
"2004-05-01",17,22,16,20,56
"2004-06-01",17,23,16,20,56
"2004-07-01",14,23,17,21,58
"2004-08-01",14,20,15,20,58
"2004-09-01",14,16,13,18,58
"2004-10-01",14,15,11,17,55
"2004-11-01",13,14,11,18,53
"2004-12-01",12,12,9,16,48
"2005-01-01",13,18,13,21,60
"2005-02-01",15,18,15,21,55
"2005-03-01",15,18,15,19,52
"2005-04-01",13,19,14,20,50
"2005-05-01",15,18,14,19,51
"2005-06-01",14,19,14,20,53
"2005-07-01",12,18,13,20,51
"2005-08-01",11,17,12,18,51
"2005-09-01",11,12,9,18,49
"2005-10-01",11,12,10,17,51
"2005-11-01",11,12,8,16,49
"2005-12-01",9,9,8,14,41
"2006-01-01",11,15,13,20,49
"2006-02-01",11,14,11,17,43
"2006-03-01",12,15,11,17,43
"2006-04-01",11,15,12,15,43
"2006-05-01",12,16,12,16,43
"2006-06-01",11,15,12,15,44
"2006-07-01",11,17,13,17,45
"2006-08-01",10,14,11,16,42
"2006-09-01",10,11,9,15,40
"2006-10-01",10,10,8,14,39
"2006-11-01",9,10,7,13,35
"2006-12-01",8,9,7,12,32
"2007-01-01",10,13,10,17,43
"2007-02-01",9,13,10,15,35
"2007-03-01",10,13,10,15,41
"2007-04-01",9,14,10,14,34
"2007-05-01",10,14,11,14,39
"2007-06-01",9,14,12,14,41
"2007-07-01",10,16,11,16,43
"2007-08-01",9,13,10,14,42
"2007-09-01",9,11,8,13,40
"2007-10-01",9,9,7,13,43
"2007-11-01",8,9,6,12,40
"2007-12-01",7,8,6,11,31
"2008-01-01",10,12,9,15,43
"2008-02-01",8,11,8,13,38
"2008-03-01",9,11,9,13,37
"2008-04-01",8,11,9,13,34
"2008-05-01",8,12,9,13,33
"2008-06-01",8,12,10,13,34
"2008-07-01",8,13,10,13,36
"2008-08-01",8,10,8,13,33
"2008-09-01",7,8,7,12,32
"2008-10-01",7,7,5,11,32
"2008-11-01",6,7,5,10,29
"2008-12-01",6,6,5,10,26
"2009-01-01",7,10,8,13,34
"2009-02-01",7,9,7,11,30
"2009-03-01",7,9,8,10,31
"2009-04-01",7,10,9,10,31
"2009-05-01",7,10,9,10,32
"2009-06-01",7,11,10,11,33
"2009-07-01",7,11,11,11,32
"2009-08-01",7,10,9,11,32
